date, value
2014-01-01,233.9160
2014-02-01,234.7810
2014-03-01,236.2930
2014-04-01,237.0720
2014-05-01,237.9000
2014-06-01,238.3430
2014-07-01,238.2500
2014-08-01,237.8520
2014-09-01,238.0310
2014-10-01,237.4330
2014-11-01,236.1510
2014-12-01,234.8120
2015-01-01,233.7070
2015-02-01,234.7220
2015-03-01,236.1190
2015-04-01,236.5990
2015-05-01,237.8050
2015-06-01,238.6380
2015-07-01,238.6540
2015-08-01,238.3160
2015-09-01,237.9450
2015-10-01,237.8380
2015-11-01,237.3360
2015-12-01,236.5250
2016-01-01,236.9160
2016-02-01,237.1110
2016-03-01,238.1320
2016-04-01,239.2610
2016-05-01,240.2290
2016-06-01,241.0180
2016-07-01,240.6280
2016-08-01,240.8490
2016-09-01,241.4280
2016-10-01,241.7290
2016-11-01,241.3530
2016-12-01,241.4320
2017-01-01,242.8390
2017-02-01,243.6030
2017-03-01,243.8010
2017-04-01,244.5240
2017-05-01,244.7330
2017-06-01,244.9550
2017-07-01,244.7860
2017-08-01,245.5190
2017-09-01,246.8190
2017-10-01,246.6630
2017-11-01,246.6690
2017-12-01,246.5240
2018-01-01,247.8670
2018-02-01,248.9910
2018-03-01,249.5540
2018-04-01,250.5460
2018-05-01,251.5880
2018-06-01,251.9890
2018-07-01,252.0060
2018-08-01,252.1460
2018-09-01,252.4390
2018-10-01,252.8850
2018-11-01,252.0380
2018-12-01,251.2330
2019-01-01,251.7120
2019-02-01,252.7760
2019-03-01,254.2020
2019-04-01,255.5480
2019-05-01,256.0920
2019-06-01,256.1430
2019-07-01,256.5710
2019-08-01,256.5580
2019-09-01,256.7590
2019-10-01,257.3460
2019-11-01,257.2080
2019-12-01,256.9740
2020-01-01,257.9710
2020-02-01,258.6780
2020-03-01,258.1150
2020-04-01,256.3890
2020-05-01,256.3940
2020-06-01,257.7970
2020-07-01,259.1010
2020-08-01,259.1980
2020-09-01,260.2800
2020-10-01,260.3880
2020-11-01,260.2290
2020-12-01,260.4740
2021-01-01,261.5820
2021-02-01,263.0140
2021-03-01,264.8770
2021-04-01,267.0540
2021-05-01,269.1950
2021-06-01,271.6960
2021-07-01,273.0030
2021-08-01,273.5670
2021-09-01,274.3100
2021-10-01,276.5890
2021-11-01,277.9480
2021-12-01,278.8020
2022-01-01,281.1480
2022-02-01,283.7160
2022-03-01,287.5040
2022-04-01,289.1090
2022-05-01,292.2960
2022-06-01,296.3110
2022-07-01,296.2760
2022-08-01,296.1710
2022-09-01,296.8080
2022-10-01,298.0120
2022-11-01,297.7110
2022-12-01,296.7970
2023-01-01,299.1700
2023-02-01,300.8400
2023-03-01,301.8360
2023-04-01,303.3630
2023-05-01,304.1270
2023-06-01,305.1090
2023-07-01,305.6910
2023-08-01,307.0260
2023-09-01,307.7890
2023-10-01,307.6710
2023-11-01,307.0510
2023-12-01,306.7460
