date,value
2014-01-01,4.5000
2014-02-01,5.0400
2014-03-01,7.0900
2014-04-01,4.3900
2014-05-01,4.7900
2014-06-01,4.4900
2014-07-01,4.4700
2014-08-01,3.7700
2014-09-01,4.0100
2014-10-01,4.1400
2014-11-01,3.8200
2014-12-01,4.3000
2015-01-01,3.2200
2015-02-01,2.8800
2015-03-01,2.7900
2015-04-01,2.6300
2015-05-01,2.7200
2015-06-01,2.7800
2015-07-01,2.7900
2015-08-01,2.7600
2015-09-01,2.6700
2015-10-01,2.3400
2015-11-01,1.9200
2015-12-01,2.0600
2016-01-01,2.3900
2016-02-01,2.2800
2016-03-01,1.5700
2016-04-01,1.7700
2016-05-01,1.9100
2016-06-01,2.3200
2016-07-01,2.7900
2016-08-01,2.9700
2016-09-01,2.8800
2016-10-01,2.8400
2016-11-01,2.5300
2016-12-01,2.9600
2017-01-01,3.7100
2017-02-01,3.0000
2017-03-01,2.5400
2017-04-01,3.1300
2017-05-01,3.2000
2017-06-01,2.9200
2017-07-01,2.9800
2017-08-01,2.8000
2017-09-01,2.8800
2017-10-01,2.9400
2017-11-01,3.0100
2017-12-01,2.9100
2018-01-01,2.8900
2018-02-01,2.8500
2018-03-01,2.5900
2018-04-01,2.7500
2018-05-01,2.7400
2018-06-01,2.8900
2018-07-01,2.9000
2018-08-01,2.8500
2018-09-01,2.9600
2018-10-01,3.1300
2018-11-01,3.5300
2018-12-01,4.4000
2019-01-01,2.7400
2019-02-01,2.5700
2019-03-01,4.2500
2019-04-01,2.7300
2019-05-01,2.5400
2019-06-01,2.5000
2019-07-01,2.3300
2019-08-01,2.0200
2019-09-01,2.3900
2019-10-01,2.3600
2019-11-01,2.7700
2019-12-01,2.2900
2020-01-01,2.1000
2020-02-01,1.9000
2020-03-01,1.7500
2020-04-01,1.7100
2020-05-01,1.7800
2020-06-01,1.5900
2020-07-01,1.7100
2020-08-01,1.9500
2020-09-01,2.3500
2020-10-01,1.9200
2020-11-01,3.0300
2020-12-01,2.3900
2021-01-01,2.6000
2021-02-01,2.8800
2021-03-01,2.7000
2021-04-01,2.4300
2021-05-01,2.9600
2021-06-01,2.9800
2021-07-01,3.6800
2021-08-01,4.0200
2021-09-01,4.7100
2021-10-01,5.8000
2021-11-01,5.2200
2021-12-01,3.6600
2022-01-01,3.7400
2022-02-01,5.4500
2022-03-01,4.3600
2022-04-01,5.7200
2022-05-01,7.3000
2022-06-01,9.0800
2022-07-01,5.7200
2022-08-01,8.2000
2022-09-01,8.5200
2022-10-01,5.6400
2022-11-01,4.6200
2022-12-01,4.1500
2023-01-01,3.6400
2023-02-01,2.1700
2023-03-01,2.4600
2023-04-01,2.0900
2023-05-01,2.2400
2023-06-01,1.9200
2023-07-01,2.4800
2023-08-01,2.6500
2023-09-01,2.6000
2023-10-01,2.7000
2023-11-01,2.7100
2023-12-01,2.5500
