Date,Gross_Revenue,Exchange_Rate_JPY_USD,Net_Gas_Price,CPI,Corn_Price
1/1/1996,60.5,105.843,3.18,135,3.09
2/1/1996,60.2,105.788,2.99,134.8,3.37
3/1/1996,59.4,105.94,3.05,134.4,3.51
4/1/1996,55.1,107.1995455,2.96,133.9,3.85
5/1/1996,54.4,106.3422727,2.85,131.3,4.14
6/1/1996,55.1,108.96,2.79,131.9,4.2
7/1/1996,56.8,109.1909091,2.77,132.3,4.43
8/1/1996,59.3,107.8659091,2.81,134.4,4.3
9/1/1996,61,109.931,2.94,134.7,3.56
10/1/1996,60.1,112.4122727,3.09,136,2.88
11/1/1996,61.2,112.2957895,3.55,137.3,2.66
12/1/1996,61.8,113.9809524,4.24,137.8,2.63
1/1/1997,68.1,117.912381,4.62,137.5,2.69
2/1/1997,74.9,122.9621053,4.03,136.6,2.65
3/1/1997,80,122.7738095,3.36,135.8,2.79
4/1/1997,82.2,125.6377273,3.38,136.2,2.8
5/1/1997,84.3,119.192381,3.42,136.9,2.69
6/1/1997,85.4,114.2857143,3.45,136.4,2.56
7/1/1997,86.9,115.3759091,3.37,136.5,2.42
8/1/1997,88,117.9295238,3.46,137,2.5
9/1/1997,86.9,120.89,3.77,137.2,2.52
10/1/1997,84.3,121.0604545,3.85,137.1,2.54
11/1/1997,82.9,125.3816667,4.22,137,2.51
12/1/1997,83.3,129.7340909,4.14,136.9,2.52
1/1/1998,86.6,129.5475,3.82,136.8,2.56
2/1/1998,88.7,125.8515789,3.7,135.9,2.55
3/1/1998,89.8,129.0822727,3.69,136.8,2.55
4/1/1998,90.8,131.7536364,3.63,136.5,2.41
5/1/1998,88.9,134.896,3.5,136.3,2.34
6/1/1998,81.7,140.3304545,3.38,136.3,2.28
7/1/1998,76.6,140.7873913,3.29,136.1,2.19
8/1/1998,76.9,144.68,3.24,137,1.89
9/1/1998,74.1,134.4804762,3.18,136.3,1.84
10/1/1998,75.7,121.0485714,3.21,136.1,1.91
11/1/1998,77.5,120.2894737,3.28,137,1.93
12/1/1998,80.2,117.0709091,3.06,137.1,2
1/1/1999,83.2,113.29,2.89,136.5,2.06
2/1/1999,86.9,116.6684211,2.8,137.4,2.05
3/1/1999,87.3,119.4730435,2.68,136.9,2.06
4/1/1999,88.2,119.7722727,2.73,137.5,2.04
5/1/1999,87.6,121.9995,2.87,137.7,1.99
6/1/1999,89,120.7245455,2.96,138.8,1.97
7/1/1999,89.2,119.3304762,2.97,138.9,1.74
8/1/1999,89.6,113.2268182,3.14,139,1.75
9/1/1999,90.9,106.8752381,3.28,140.6,1.75
10/1/1999,91.9,105.965,3.42,142,1.69
11/1/1999,93,104.6485,3.82,142.5,1.7
12/1/1999,98.6,102.5843478,3.4,143.4,1.82
1/1/2000,103,105.296,3.31,143.2,1.91
2/1/2000,105,109.3885,3.34,144.3,1.98
3/1/2000,109,106.3073913,3.38,145.7,2.03
4/1/2000,111,105.627,3.59,147,2.03
5/1/2000,107,108.3204545,3.95,148,2.11
6/1/2000,104,106.1254545,4.24,149.4,1.91
7/1/2000,106,108.2115,4.38,149.5,1.64
8/1/2000,106,108.0804348,4.58,150.4,1.52
9/1/2000,103,106.8375,5.01,150.2,1.61
10/1/2000,103,108.4428571,5.41,148.9,1.74
11/1/2000,106,109.0095238,6.15,149.3,1.86
12/1/2000,106,112.209,7.43,150.9,1.97
1/1/2001,108,116.6719048,8.84,154.8,1.98
2/1/2001,109,116.2336842,7.21,158.6,1.96
3/1/2001,112,121.505,6.3,160.1,1.96
4/1/2001,111,123.7709524,6.08,161.5,1.89
5/1/2001,111,121.7681818,5.46,161.7,1.82
6/1/2001,110,122.3509524,4.75,162.5,1.76
7/1/2001,108,124.4980952,4.1,162.1,1.87
8/1/2001,106,121.3669565,3.99,161,1.9
9/1/2001,107,118.6116667,3.5,161.1,1.91
10/1/2001,99.9,121.4536364,3.18,161,1.84
11/1/2001,96.9,122.4055,3.88,161,1.85
12/1/2001,101,127.5945,3.69,160.2,1.98
1/1/2002,102,132.6833333,4.05,159.7,1.97
2/1/2002,105,133.6426316,3.7,160.7,1.93
3/1/2002,105,131.0609524,3.78,161.8,1.94
4/1/2002,101,130.7718182,3.64,162.3,1.91
5/1/2002,99.5,126.375,4.07,162.1,1.93
6/1/2002,96.5,123.2905,3.86,160.2,1.97
7/1/2002,95.2,117.8990909,3.8,159.7,2.13
8/1/2002,94.9,118.9927273,3.62,160,2.38
9/1/2002,92.4,121.078,3.89,159.6,2.47
10/1/2002,92,123.9077273,4.18,159.7,2.34
11/1/2002,91.9,121.6078947,4.72,160.3,2.28
12/1/2002,95.3,121.8928571,4.92,161.1,2.32
1/1/2003,96.8,118.8133333,5.65,161.3,2.33
2/1/2003,97.2,119.3378947,6.4,166.6,2.34
3/1/2003,96.7,118.6871429,8.27,168.6,2.33
4/1/2003,98.9,119.895,5.96,169.1,2.34
5/1/2003,100,117.3680952,5.78,168.3,2.38
6/1/2003,101,118.3290476,6.59,170.3,2.34
7/1/2003,102,118.6959091,5.69,171.8,2.17
8/1/2003,106,118.662381,5.28,172.9,2.15
9/1/2003,109,114.8,5.32,175.5,2.2
10/1/2003,112,109.4954545,4.93,182.1,2.12
11/1/2003,111,109.1777778,5.19,195.6,2.2
12/1/2003,112,107.7377273,5.9,198.9,2.31
1/1/2004,110,106.2685,6.72,194.2,2.39
2/1/2004,111,106.7078947,6.52,193.5,2.61
3/1/2004,115,108.5156522,5.97,190.1,2.75
4/1/2004,117,107.6563636,6.06,191.4,2.89
5/1/2004,121,112.196,6.34,195,2.87
6/1/2004,125,109.4336364,6.82,197.5,2.79
7/1/2004,130,109.4871429,6.41,198.3,2.51
8/1/2004,131,110.2336364,6.36,197.4,2.34
9/1/2004,128,110.0914286,5.68,196.9,2.2
10/1/2004,126,108.7835,6.03,195.6,2.14
11/1/2004,123,104.699,7.64,196.7,2.05
12/1/2004,122,103.8104348,7.54,197.1,2.04
1/1/2005,126,103.341,7.06,197.2,2.12
2/1/2005,129,104.9442105,7.15,200.2,1.95
3/1/2005,136,105.2543478,7.12,201.6,2.02
4/1/2005,141,107.1938095,7.71,201.6,2
5/1/2005,143,106.5952381,7.19,204.7,1.98
6/1/2005,140,108.7472727,6.91,204.1,2.03
7/1/2005,133,111.9535,7.4,199.9,2.11
8/1/2005,133,110.6065217,7.98,198.9,1.95
9/1/2005,135,111.2390476,10.18,197.9,1.9
10/1/2005,135,114.8695,12.06,198.4,1.82
11/1/2005,137,118.454,12.11,199.1,1.77
12/1/2005,137,118.462381,11.17,201.5,1.92
1/1/2006,141,115.4765,10.85,202.8,2
2/1/2006,143,117.8605263,9.38,202.9,2.02
3/1/2006,139,117.2778261,8.24,204,2.06
4/1/2006,137,117.0695,7.93,203,2.11
5/1/2006,134,111.7304545,7.63,201.2,2.17
6/1/2006,135,114.625,6.92,200.3,2.14
7/1/2006,137,115.767,6.78,198.9,2.14
8/1/2006,136,115.9243478,7.36,201.6,2.09
9/1/2006,136,117.2145,7.21,201.1,2.2
10/1/2006,128,118.6090476,5.62,202.4,2.55
