Date,Gross_Revenue,Exchange_Rate_JPY_USD,Net_Gas_Price,CPI,Corn_Price
2014-01-01,3900000.0,104.84,4.5,233.916,4.17
2014-02-01,3920000.0,101.11,5.04,234.781,4.3575
2014-03-01,3880000.0,101.36,7.09,236.293,4.705
2014-04-01,3910000.0,103.52,4.39,237.072,5.075
2014-05-01,3890000.0,102.3,4.79,237.9,5.07
2014-06-01,3920000.0,102.3,4.49,238.343,4.655
2014-07-01,3900000.0,101.51,4.47,238.25,4.16
2014-08-01,3930000.0,102.45,3.77,237.852,3.525
2014-09-01,3910000.0,105.1,4.01,238.031,3.6375
2014-10-01,3920000.0,109.3,4.14,237.433,3.2125
2014-11-01,3900000.0,113.92,3.82,236.151,3.735
2014-12-01,3930000.0,118.14,4.3,234.812,3.8975
2015-01-01,3950000.0,120.2,3.22,233.707,3.9575
2015-02-01,3960000.0,117.33,2.88,234.722,3.6975
2015-03-01,3940000.0,120.06,2.79,236.119,3.88
2015-04-01,3970000.0,119.62,2.63,236.599,3.8175
2015-05-01,3950000.0,120.21,2.72,237.805,3.63
2015-06-01,3980000.0,124.64,2.78,238.638,3.5225
2015-07-01,3960000.0,123.02,2.79,238.654,4.225
2015-08-01,3970000.0,123.98,2.76,238.316,3.665
2015-09-01,3960000.0,119.94,2.67,237.945,3.69
2015-10-01,3950000.0,119.58,2.34,237.838,3.8875
2015-11-01,3980000.0,120.7,1.92,237.336,3.765
2015-12-01,3970000.0,122.88,2.06,236.525,3.7375
2016-01-01,4000000.0,119.3,2.39,236.916,3.515
2016-02-01,4010000.0,121.06,2.28,237.111,3.7125
2016-03-01,3990000.0,113.94,1.57,238.132,3.5575
2016-04-01,4000000.0,112.06,1.77,239.261,3.54
2016-05-01,4020000.0,108.89,1.91,240.229,3.9175
2016-06-01,4000000.0,109.55,2.32,241.018,4.1375
2016-07-01,3990000.0,102.52,2.79,240.628,3.6
2016-08-01,4010000.0,102.39,2.97,240.849,3.2575
2016-09-01,4000000.0,103.23,2.88,241.428,3.2375
2016-10-01,4020000.0,101.65,2.84,241.729,3.46
2016-11-01,4000000.0,104.15,2.53,241.353,3.49
2016-12-01,4010000.0,114.1,2.96,241.432,3.425
2017-01-01,4050000.0,117.55,3.71,242.839,3.5575
2017-02-01,4060000.0,113.25,3.0,243.603,3.6825
2017-03-01,4040000.0,113.73,2.54,243.801,3.82
2017-04-01,4050000.0,110.9,3.13,244.524,3.6775
2017-05-01,4070000.0,111.84,3.2,244.733,3.775
2017-06-01,4050000.0,111.37,2.92,244.955,3.705
2017-07-01,4040000.0,113.38,2.98,244.786,3.885
2017-08-01,4060000.0,110.36,2.8,245.519,3.625
