date,value
2014-01-01,4.1700
2014-02-01,4.3575
2014-03-01,4.7050
2014-04-01,5.0750
2014-05-01,5.0700
2014-06-01,4.6550
2014-07-01,4.1600
2014-08-01,3.5250
2014-09-01,3.6375
2014-10-01,3.2125
2014-11-01,3.7350
2014-12-01,3.8975
2015-01-01,3.9575
2015-02-01,3.6975
2015-03-01,3.8800
2015-04-01,3.8175
2015-05-01,3.6300
2015-06-01,3.5225
2015-07-01,4.2250
2015-08-01,3.6650
2015-09-01,3.6900
2015-10-01,3.8875
2015-11-01,3.7650
2015-12-01,3.7375
2016-01-01,3.5150
2016-02-01,3.7125
2016-03-01,3.5575
2016-04-01,3.5400
2016-05-01,3.9175
2016-06-01,4.1375
2016-07-01,3.6000
2016-08-01,3.2575
2016-09-01,3.2375
2016-10-01,3.4600
2016-11-01,3.4900
2016-12-01,3.4250
2017-01-01,3.5575
2017-02-01,3.6825
2017-03-01,3.8200
2017-04-01,3.6775
2017-05-01,3.7750
2017-06-01,3.7050
2017-07-01,3.8850
2017-08-01,3.6250
2017-09-01,3.5525
2017-10-01,3.5150
2017-11-01,3.4825
2017-12-01,3.5875
2018-01-01,3.5325
2018-02-01,3.6175
2018-03-01,3.8625
2018-04-01,3.8725
2018-05-01,4.0575
2018-06-01,3.9150
2018-07-01,3.4700
2018-08-01,3.6500
2018-09-01,3.6825
2018-10-01,3.6575
2018-11-01,3.6675
2018-12-01,3.8200
2019-01-01,3.7575
2019-02-01,3.7825
2019-03-01,3.7300
2019-04-01,3.6175
2019-05-01,3.6850
2019-06-01,4.2425
2019-07-01,4.1550
2019-08-01,3.9275
2019-09-01,3.6100
2019-10-01,3.9250
2019-11-01,3.8925
2019-12-01,3.8200
2020-01-01,3.9150
2020-02-01,3.7875
2020-03-01,3.7550
2020-04-01,3.3475
2020-05-01,3.1850
2020-06-01,3.2325
2020-07-01,3.5050
2020-08-01,3.1750
2020-09-01,3.5800
2020-10-01,3.8275
2020-11-01,3.9750
2020-12-01,4.2075
2021-01-01,4.8375
2021-02-01,5.4925
2021-03-01,5.3825
2021-04-01,5.5975
2021-05-01,6.7950
2021-06-01,6.8875
2021-07-01,6.0175
2021-08-01,5.5875
2021-09-01,5.2275
2021-10-01,5.4150
2021-11-01,5.7900
2021-12-01,5.7150
2022-01-01,5.8925
2022-02-01,6.3475
2022-03-01,7.2575
2022-04-01,7.3500
2022-05-01,8.0350
2022-06-01,7.3125
2022-07-01,7.4306
2022-08-01,6.0700
2022-09-01,6.5825
2022-10-01,6.8075
2022-11-01,6.9775
2022-12-01,6.5000
2023-01-01,6.7850
2023-02-01,6.8100
2023-03-01,6.4050
2023-04-01,6.5775
2023-05-01,6.3950
2023-06-01,5.9250
2023-07-01,5.5550
2023-08-01,4.9700
2023-09-01,4.6525
2023-10-01,4.8875
2023-11-01,4.7500
2023-12-01,4.6175
