Date,Gross_Revenue,Exchange_Rate_JPY_USD,Net_Gas_Price,CPI,Corn_Price
1996-01-01,60.5,105.843,3.18,135.0,3.09
1996-02-01,60.2,105.788,2.99,134.8,3.37
1996-03-01,59.4,105.94,3.05,134.4,3.51
1996-04-01,55.1,107.1995455,2.96,133.9,3.85
1996-05-01,54.4,106.3422727,2.85,131.3,4.14
1996-06-01,55.1,108.96,2.79,131.9,4.2
1996-07-01,56.8,109.1909091,2.77,132.3,4.43
1996-08-01,59.3,107.8659091,2.81,134.4,4.3
1996-09-01,61.0,109.931,2.94,134.7,3.56
1996-10-01,60.1,112.4122727,3.09,136.0,2.88
1996-11-01,61.2,112.2957895,3.55,137.3,2.66
1996-12-01,61.8,113.9809524,4.24,137.8,2.63
1997-01-01,68.1,117.912381,4.62,137.5,2.69
1997-02-01,74.9,122.9621053,4.03,136.6,2.65
1997-03-01,80.0,122.7738095,3.36,135.8,2.79
1997-04-01,82.2,125.6377273,3.38,136.2,2.8
1997-05-01,84.3,119.192381,3.42,136.9,2.69
1997-06-01,85.4,114.2857143,3.45,136.4,2.56
1997-07-01,86.9,115.3759091,3.37,136.5,2.42
1997-08-01,88.0,117.9295238,3.46,137.0,2.5
1997-09-01,86.9,120.89,3.77,137.2,2.52
1997-10-01,84.3,121.0604545,3.85,137.1,2.54
1997-11-01,82.9,125.3816667,4.22,137.0,2.51
1997-12-01,83.3,129.7340909,4.14,136.9,2.52
1998-01-01,86.6,129.5475,3.82,136.8,2.56
1998-02-01,88.7,125.8515789,3.7,135.9,2.55
1998-03-01,89.8,129.0822727,3.69,136.8,2.55
1998-04-01,90.8,131.7536364,3.63,136.5,2.41
1998-05-01,88.9,134.896,3.5,136.3,2.34
1998-06-01,81.7,140.3304545,3.38,136.3,2.28
1998-07-01,76.6,140.7873913,3.29,136.1,2.19
1998-08-01,76.9,144.68,3.24,137.0,1.89
1998-09-01,74.1,134.4804762,3.18,136.3,1.84
1998-10-01,75.7,121.0485714,3.21,136.1,1.91
1998-11-01,77.5,120.2894737,3.28,137.0,1.93
1998-12-01,80.2,117.0709091,3.06,137.1,2.0
1999-01-01,83.2,113.29,2.89,136.5,2.06
1999-02-01,86.9,116.6684211,2.8,137.4,2.05
1999-03-01,87.3,119.4730435,2.68,136.9,2.06
1999-04-01,88.2,119.7722727,2.73,137.5,2.04
1999-05-01,87.6,121.9995,2.87,137.7,1.99
1999-06-01,89.0,120.7245455,2.96,138.8,1.97
1999-07-01,89.2,119.3304762,2.97,138.9,1.74
1999-08-01,89.6,113.2268182,3.14,139.0,1.75
1999-09-01,90.9,106.8752381,3.28,140.6,1.75
1999-10-01,91.9,105.965,3.42,142.0,1.69
1999-11-01,93.0,104.6485,3.82,142.5,1.7
1999-12-01,98.6,102.5843478,3.4,143.4,1.82
2000-01-01,103.0,105.296,3.31,143.2,1.91
2000-02-01,105.0,109.3885,3.34,144.3,1.98
2000-03-01,109.0,106.3073913,3.38,145.7,2.03
2000-04-01,111.0,105.627,3.59,147.0,2.03
2000-05-01,107.0,108.3204545,3.95,148.0,2.11
2000-06-01,104.0,106.1254545,4.24,149.4,1.91
2000-07-01,106.0,108.2115,4.38,149.5,1.64
2000-08-01,106.0,108.0804348,4.58,150.4,1.52
