Date,Gross_Revenue,Exchange_Rate_JPY_USD,Net_Gas_Price,CPI,Corn_Price,Gross_Value_Production
2014-01-01,3900910,104.84,4.5,233.916,4.17,1052.58
2014-02-01,3920095,101.11,5.04,234.781,4.3575,1032.82
2014-03-01,3880384,101.36,7.09,236.293,4.705,972.78
2014-04-01,3910363,103.52,4.39,237.072,5.075,1033.23
2014-05-01,3890389,102.3,4.79,237.9,5.07,975.16
2014-06-01,3920730,102.3,4.49,238.343,4.655,995.79
2014-07-01,3900538,101.51,4.47,238.25,4.16,1019.40
2014-08-01,3930224,102.45,3.77,237.852,3.525,1018.51
2014-09-01,3910598,105.1,4.01,238.031,3.6375,983.90
2014-10-01,3920980,109.3,4.14,237.433,3.2125,1006.38
2014-11-01,3900258,113.92,3.82,236.151,3.735,977.37
2014-12-01,3930910,118.14,4.3,234.812,3.8975,1057.97
2015-01-01,3950484,120.2,3.22,233.707,3.9575,956.16
2015-02-01,3960376,117.33,2.88,234.722,3.6975,941.88
2015-03-01,3940294,120.06,2.79,236.119,3.88,957.92
2015-04-01,3970918,119.62,2.63,236.599,3.8175,920.46
2015-05-01,3950945,120.21,2.72,237.805,3.63,914.69
2015-06-01,3980944,124.64,2.78,238.638,3.5225,938.47
2015-07-01,3960139,123.02,2.79,238.654,4.225,918.23
2015-08-01,3970791,123.98,2.76,238.316,3.665,974.24
2015-09-01,3960044,119.94,2.67,237.945,3.69,952.71
2015-10-01,3950408,119.58,2.34,237.838,3.8875,967.62
2015-11-01,3980040,120.7,1.92,237.336,3.765,923.09
2015-12-01,3970307,122.88,2.06,236.525,3.7375,951.97
2016-01-01,4000387,119.3,2.39,236.916,3.515,662.72
2016-02-01,4010980,121.06,2.28,237.111,3.7125,641.42
2016-03-01,3990458,113.94,1.57,238.132,3.5575,631.88
2016-04-01,4000043,112.06,1.77,239.261,3.54,660.62
2016-05-01,4020285,108.89,1.91,240.229,3.9175,622.57
2016-06-01,4000217,109.55,2.32,241.018,4.1375,622.49
2016-07-01,3990246,102.52,2.79,240.628,3.6,644.92
2016-08-01,4010352,102.39,2.97,240.849,3.2575,683.36
2016-09-01,4000882,103.23,2.88,241.428,3.2375,659.32
2016-10-01,4020957,101.65,2.84,241.729,3.46,631.16
2016-11-01,4000576,104.15,2.53,241.353,3.49,682.63
2016-12-01,4010427,114.1,2.96,241.432,3.425,638.25
2017-01-01,4050211,117.55,3.71,242.839,3.5575,687.42
2017-02-01,4060390,113.25,3.0,243.603,3.6825,653.99
2017-03-01,4040460,113.73,2.54,243.801,3.82,688.78
2017-04-01,4050924,110.9,3.13,244.524,3.6775,671.42
2017-05-01,4070781,111.84,3.2,244.733,3.775,639.82
2017-06-01,4050575,111.37,2.92,244.955,3.705,657.26
2017-07-01,4040022,113.38,2.98,244.786,3.885,647.31
2017-08-01,4060330,110.36,2.8,245.519,3.625,648.64
2017-09-01,4050993,110.25,2.88,246.819,3.5525,654.63
2017-10-01,4070423,112.77,2.94,246.663,3.515,666.27
2017-11-01,4050097,114.18,3.01,246.669,3.4825,636.75
2017-12-01,4060509,112.17,2.91,246.524,3.5875,652.00
2018-01-01,4080229,112.63,2.89,247.867,3.5325,589.35
2018-02-01,4090099,109.4,2.85,248.991,3.6175,587.74
2018-03-01,4070495,106.176,2.59,249.554,3.8625,628.48
2018-04-01,4080313,106.312,2.75,250.546,3.8725,598.88
2018-05-01,4100171,109.86,2.74,251.588,4.0575,581.62
2018-06-01,4080554,109.518,2.89,251.989,3.915,623.38
2018-07-01,4070133,110.713,2.9,252.006,3.47,587.81
2018-08-01,4090786,111.6225,2.85,252.146,3.65,595.53
2018-09-01,4080324,111.0404,2.96,252.439,3.6825,586.69
2018-10-01,4100294,113.996,3.13,252.885,3.6575,618.20
2018-11-01,4080122,112.604,3.53,252.038,3.6675,571.32
2018-12-01,4090343,113.508,4.4,251.233,3.82,588.16
2019-01-01,4100681,109.694,2.74,251.712,3.7575,569.04
2019-02-01,4110800,109.495,2.57,252.776,3.7825,568.21
2019-03-01,4090264,111.915,4.25,254.202,3.73,560.59
2019-04-01,4100073,111.372,2.73,255.548,3.6175,552.59
2019-05-01,4120982,111.391,2.54,256.092,3.685,564.31
2019-06-01,4100746,108.275,2.5,256.143,4.2425,587.65
2019-07-01,4090214,107.855,2.33,256.571,4.155,580.29
2019-08-01,4110145,107.522,2.02,256.558,3.9275,557.37
2019-09-01,4100979,106.193,2.39,256.759,3.61,554.01
2019-10-01,4120249,107.745,2.36,257.346,3.925,552.65
2019-11-01,4100126,108.205,2.77,257.208,3.8925,546.82
2019-12-01,4110257,109.0295,2.29,256.974,3.82,555.11
2020-01-01,4110293,108.689,2.1,257.971,3.915,547.62
2020-02-01,4120794,108.335,1.9,258.678,3.7875,558.86
2020-03-01,4100832,108.3065,1.75,258.115,3.755,563.26
2020-04-01,4110447,107.183,1.71,256.389,3.3475,563.49
2020-05-01,4130975,106.9304,1.78,256.394,3.185,556.85
2020-06-01,4110402,107.574,1.59,257.797,3.2325,549.78
2020-07-01,4100716,107.459,1.71,259.101,3.505,557.48
2020-08-01,4120013,105.839,1.95,259.198,3.175,582.23
2020-09-01,4110163,105.942,2.35,260.28,3.58,548.34
2020-10-01,4130562,105.571,1.92,260.388,3.8275,579.18
2020-11-01,4110749,104.7465,3.03,260.229,3.975,566.48
2020-12-01,4120840,104.3285,2.39,260.474,4.2075,583.42
2021-01-01,4115412,103.2404,2.6,261.582,4.8375,590.05
2021-02-01,4125678,104.9495,2.88,263.014,5.4925,606.17
2021-03-01,4105139,106.768,2.7,264.877,5.3825,589.63
2021-04-01,4115318,110.602,2.43,267.054,5.5975,591.66
2021-05-01,4135872,109.3005,2.96,269.195,6.795,630.03
2021-06-01,4115212,109.477,2.98,271.696,6.8875,586.45
2021-07-01,4105500,111.5405,3.68,273.003,6.0175,646.77
2021-08-01,4125921,109.325,4.02,273.567,5.5875,604.77
2021-09-01,4115499,110.044,4.71,274.31,5.2275,642.46
2021-10-01,4135415,111.0765,5.8,276.589,5.415,625.51
2021-11-01,4115468,114.0575,5.22,277.948,5.79,618.47
2021-12-01,4125314,112.7685,3.66,278.802,5.715,639.65
2022-01-01,4119460,115.108,3.74,281.148,5.8925,717.18
2022-02-01,4120849,114.6975,5.45,283.716,6.3475,684.99
2022-03-01,4118363,114.901,4.36,287.504,7.2575,706.76
