date,value
2014-01-01,3900000.0000
2014-02-01,3920000.0000
2014-03-01,3880000.0000
2014-04-01,3910000.0000
2014-05-01,3890000.0000
2014-06-01,3920000.0000
2014-07-01,3900000.0000
2014-08-01,3930000.0000
2014-09-01,3910000.0000
2014-10-01,3920000.0000
2014-11-01,3900000.0000
2014-12-01,3930000.0000
2015-01-01,3950000.0000
2015-02-01,3960000.0000
2015-03-01,3940000.0000
2015-04-01,3970000.0000
2015-05-01,3950000.0000
2015-06-01,3980000.0000
2015-07-01,3960000.0000
2015-08-01,3970000.0000
2015-09-01,3960000.0000
2015-10-01,3950000.0000
2015-11-01,3980000.0000
2015-12-01,3970000.0000
2016-01-01,4000000.0000
2016-02-01,4010000.0000
2016-03-01,3990000.0000
2016-04-01,4000000.0000
2016-05-01,4020000.0000
2016-06-01,4000000.0000
2016-07-01,3990000.0000
2016-08-01,4010000.0000
2016-09-01,4000000.0000
2016-10-01,4020000.0000
2016-11-01,4000000.0000
2016-12-01,4010000.0000
2017-01-01,4050000.0000
2017-02-01,4060000.0000
2017-03-01,4040000.0000
2017-04-01,4050000.0000
2017-05-01,4070000.0000
2017-06-01,4050000.0000
2017-07-01,4040000.0000
2017-08-01,4060000.0000
2017-09-01,4050000.0000
2017-10-01,4070000.0000
2017-11-01,4050000.0000
2017-12-01,4060000.0000
2018-01-01,4080000.0000
2018-02-01,4090000.0000
2018-03-01,4070000.0000
2018-04-01,4080000.0000
2018-05-01,4100000.0000
2018-06-01,4080000.0000
2018-07-01,4070000.0000
2018-08-01,4090000.0000
2018-09-01,4080000.0000
2018-10-01,4100000.0000
2018-11-01,4080000.0000
2018-12-01,4090000.0000
2019-01-01,4100000.0000
2019-02-01,4110000.0000
2019-03-01,4090000.0000
2019-04-01,4100000.0000
2019-05-01,4120000.0000
2019-06-01,4100000.0000
2019-07-01,4090000.0000
2019-08-01,4110000.0000
2019-09-01,4100000.0000
2019-10-01,4120000.0000
2019-11-01,4100000.0000
2019-12-01,4110000.0000
2020-01-01,4110000.0000
2020-02-01,4120000.0000
2020-03-01,4100000.0000
2020-04-01,4110000.0000
2020-05-01,4130000.0000
2020-06-01,4110000.0000
2020-07-01,4100000.0000
2020-08-01,4120000.0000
2020-09-01,4110000.0000
2020-10-01,4130000.0000
2020-11-01,4110000.0000
2020-12-01,4120000.0000
2021-01-01,4115000.0000
2021-02-01,4125000.0000
2021-03-01,4105000.0000
2021-04-01,4115000.0000
2021-05-01,4135000.0000
2021-06-01,4115000.0000
2021-07-01,4105000.0000
2021-08-01,4125000.0000
2021-09-01,4115000.0000
2021-10-01,4135000.0000
2021-11-01,4115000.0000
2021-12-01,4125000.0000
2022-01-01,4119200.0000
2022-02-01,4120000.0000
2022-03-01,4118000.0000
2022-04-01,4120000.0000
2022-05-01,4119200.0000
2022-06-01,4117000.0000
2022-07-01,4120000.0000
2022-08-01,4119200.0000
2022-09-01,4118000.0000
2022-10-01,4120000.0000
2022-11-01,4119200.0000
2022-12-01,4120000.0000
2023-01-01,4130000.0000
2023-02-01,4135000.0000
2023-03-01,4125000.0000
2023-04-01,4130000.0000
2023-05-01,4135000.0000
2023-06-01,4130000.0000
2023-07-01,4125000.0000
2023-08-01,4135000.0000
2023-09-01,4130000.0000
2023-10-01,4135000.0000
2023-11-01,4130000.0000
2023-12-01,4135000.0000
