Date,Gross_Revenue,Exchange_Rate_JPY_USD,Net_Gas_Price,CPI,Corn_Price
2014-01-01,721.75,104.84,4.5,233.916,4.17
2014-02-01,717.65,101.11,5.04,234.781,4.3575
2014-03-01,714.26,101.36,7.09,236.293,4.705
2014-04-01,720.40,103.52,4.39,237.072,5.075
2014-05-01,718.20,102.3,4.79,237.9,5.07
2014-06-01,710.35,102.3,4.49,238.343,4.655
2014-07-01,711.49,101.51,4.47,238.25,4.16
2014-08-01,711.06,102.45,3.77,237.852,3.525
2014-09-01,696.87,105.1,4.01,238.031,3.6375
2014-10-01,684.59,109.3,4.14,237.433,3.2125
2014-11-01,680.47,113.92,3.82,236.151,3.735
2014-12-01,669.71,118.14,4.3,234.812,3.8975
2015-01-01,665.50,120.2,3.22,233.707,3.9575
2015-02-01,661.20,117.33,2.88,234.722,3.6975
2015-03-01,645.55,120.06,2.79,236.119,3.88
2015-04-01,634.91,119.62,2.63,236.599,3.8175
2015-05-01,638.31,120.21,2.72,237.805,3.63
2015-06-01,616.73,124.64,2.78,238.638,3.5225
2015-07-01,616.89,123.02,2.79,238.654,4.225
2015-08-01,590.65,123.98,2.76,238.316,3.665
2015-09-01,583.76,119.94,2.67,237.945,3.69
2015-10-01,576.78,119.58,2.34,237.838,3.8875
2015-11-01,559.93,120.7,1.92,237.336,3.765
2015-12-01,548.97,122.88,2.06,236.525,3.7375
2016-01-01,534.54,119.3,2.39,236.916,3.515
2016-02-01,516.44,121.06,2.28,237.111,3.7125
2016-03-01,500.82,113.94,1.57,238.132,3.5575
2016-04-01,492.19,112.06,1.77,239.261,3.54
2016-05-01,481.04,108.89,1.91,240.229,3.9175
2016-06-01,476.87,109.55,2.32,241.018,4.1375
2016-07-01,470.76,102.52,2.79,240.628,3.6
2016-08-01,475.58,102.39,2.97,240.849,3.2575
2016-09-01,482.36,103.23,2.88,241.428,3.2375
2016-10-01,478.21,101.65,2.84,241.729,3.46
2016-11-01,475.09,104.15,2.53,241.353,3.49
2016-12-01,466.52,114.1,2.96,241.432,3.425
2017-01-01,458.14,117.55,3.71,242.839,3.5575
2017-02-01,462.51,113.25,3.0,243.603,3.6825
2017-03-01,461.20,113.73,2.54,243.801,3.82
2017-04-01,466.69,110.9,3.13,244.524,3.6775
2017-05-01,459.23,111.84,3.2,244.733,3.775
2017-06-01,454.66,111.37,2.92,244.955,3.705
2017-07-01,449.44,113.38,2.98,244.786,3.885
2017-08-01,437.60,110.36,2.8,245.519,3.625
2017-09-01,439.91,110.25,2.88,246.819,3.5525
2017-10-01,430.09,112.77,2.94,246.663,3.515
2017-11-01,430.73,114.18,3.01,246.669,3.4825
2017-12-01,433.56,112.17,2.91,246.524,3.5875
2018-01-01,433.72,112.63,2.89,247.867,3.5325
2018-02-01,422.19,109.4,2.85,248.991,3.6175
2018-03-01,429.15,106.176,2.59,249.554,3.8625
2018-04-01,435.54,106.312,2.75,250.546,3.8725
2018-05-01,443.39,109.86,2.74,251.588,4.0575
2018-06-01,443.56,109.518,2.89,251.989,3.915
2018-07-01,434.83,110.713,2.9,252.006,3.47
2018-08-01,424.98,111.6225,2.85,252.146,3.65
2018-09-01,428.77,111.0404,2.96,252.439,3.6825
2018-10-01,431.15,113.996,3.13,252.885,3.6575
2018-11-01,426.91,112.604,3.53,252.038,3.6675
2018-12-01,427.08,113.508,4.4,251.233,3.82
2019-01-01,425.30,109.694,2.74,251.712,3.7575
2019-02-01,420.73,109.495,2.57,252.776,3.7825
2019-03-01,417.62,111.915,4.25,254.202,3.73
2019-04-01,422.90,111.372,2.73,255.548,3.6175
2019-05-01,416.13,111.391,2.54,256.092,3.685
2019-06-01,408.86,108.275,2.5,256.143,4.2425
2019-07-01,416.20,107.855,2.33,256.571,4.155
2019-08-01,407.19,107.522,2.02,256.558,3.9275
2019-09-01,415.88,106.193,2.39,256.759,3.61
2019-10-01,418.18,107.745,2.36,257.346,3.925
2019-11-01,412.92,108.205,2.77,257.208,3.8925
2019-12-01,407.72,109.0295,2.29,256.974,3.82
2020-01-01,407.99,108.689,2.1,257.971,3.915
2020-02-01,417.12,108.335,1.9,258.678,3.7875
2020-03-01,420.84,108.3065,1.75,258.115,3.755
2020-04-01,410.06,107.183,1.71,256.389,3.3475
2020-05-01,404.03,106.9304,1.78,256.394,3.185
2020-06-01,409.36,107.574,1.59,257.797,3.2325
